category	es	us	meaning	example
Expressions	A backhanded compliment	Un insulto disfrazado como un cumplido	Un cumplido del atrás de la mano	His BC was mean.
Expressions	A backseat driver	Un pasajero que da consejos fastidiosos al conductor		
Expressions	A bag of tricks	Colección de métodos para conseguir una meta	 Funda de trucos	 Every English teacher has a big bag of tricks.
Expressions	A balancing act	"Hacer malabares" / Una situación difícil en la que tienes que lograr varias cosas a la vez	B = equilibrio	 Life is a balancing act.
Expressions	A ballpark figure (del #Béisbol)	Un cálculo aproximado		He gave me a ballpark figure of the price of his car.
Expressions	A big fish in a small pond	Alguien importante en un ambiente pequeño		
Expressions	A bird's-eye view	Visión general de algo	 Vista de ojo de pájaro	 The summary gives a bird's-eye view of the book.
Expressions	A blank check		 Un cheque en blanco	Dar autoridad para hacer lo que sea en negociaciones
Expressions	A blessing in disguise	Algo q' parece ser malo pero en realidad es bueno	Bendición disfrazada	It seems bad but it could be a BID
Expressions	A bombshell	Un anuncio inesperado	 Una bomba	 The news of their engagement was a bombshell.
Expressions	A blind date	Cita a ciegas		Una cita romántica entre 2 personas que no se conocen
Expressions	A brick wall	Un obstáculo	 Una pared de ladrillo	The negotiations have run into a brick wall and we don't know how to restart.
Expressions	A brown-nose	Alguien que es muy atento con los profesores (u otros) para obtener algo / "Cepillo"	 Una nariz marrón	
Expressions	A buck	un dólar		 I wouldn't do that if you paid me a thousand bucks!
Expressions	A bull in a china shop	Una persona que rompe muchas cosas o fastidia la gente	 Un toro en una tienda de porcelana	
Expressions	A change for the better	Un cambio positivo		 Eating fruit for breakfast is a change for the better.
Expressions	A cold fish	Una persona no muy amigable	 Un pescado frío.	It is hard to be her friend; she's a CF.
Expressions	A couch potato	Una persona perezosa	 Quien pasa el día en el sofá viendo la tele	
Expressions	A creature of habit	Alguien que prefiere la rutina		 I am a COH. Every Sunday at 9am, I make my coffee and read the newspaper.
Expressions	A cup of joe	Una taza de café	 Una taza de José.	 Every morning I have a cup of joe. Morning, Ecuador!
Expressions	A dark horse	Quien no tiene casi ninguna oportunidad de ganar. Pero, a veces gana!	 Un caballo oscuro	
Expressions	A dead ringer	Alguien que parece identico a otra persona		 My sister is a dead ringer for Selena Gomez.
Expressions	A dime a dozen	Muy común		A dime = 10 centavos
Expressions	A doozy (palabra muy coloquial)	Algo excepcional		 This storm is a real doozy.
Expressions	A double date	Cita doble		Cuando dos parejas salen juntas
Expressions	A dry run	Una práctica antes de un evento	 Una corrida seca	 Jamie and I did a dry run before our presentation
Expressions	A fence sitter	Indeciso	 Alguien que está sentado encima de una cerca.	 He needs to make up his mind and not be a FS.
Expressions	A far cry from	Algo muy diferente de / muy lejos de conseguirse	 Un grito muy lejos de	 Saying that is a far cry from doing it.
Expressions	A flash in the pan	Una flor de un día	 Un resplandor en el sartén	
Expressions	A full court press	Máximo esfuerzo	 Empujón	To meet our goal we need a FCP from the whole team.
Expressions	A full ride	Una beca completa	 Un paseo completo	 Your child can go to #university on a full ride in the US.
Expressions	A golden oldie	Una buena, vieja canción	 Un viejo dorado	Even some young people love to listen to golden oldies.
Expressions	A good egg	Ser una buena persona		I really like Ed; he's a good egg.
Expressions	A greasy spoon	Un restaurante muy barato	 Una cuchara grasiento (sucio)	
Expressions	A half-baked idea	Una idea que no está completamente desarrollada (peyorativo)	 medio-horneado	His business plan is half-baked
Expressions	A hand-me-down	Ropa usada heredada de un hermano/a mayor		 The youngest child always wears hand-me-downs.
Expressions	A happy medium	Punto de equilibrio, un plan de acción que no llega a los extremos.		We need to reach a happy medium on which we can agree.
Expressions	A head start	Una posición de empezar antes de la competición	 Estar pesado en mis pensamientos	 I am so sure that I will beat you that I'll give you a head start.
Expressions	A hop, skip and a jump	Una corta distancia	 Un salto, una cabriola y un brinco	I live just a hop, skip and a jump from here.
Expressions	"A household name"	Un nombre conocido por todos (Lit. En todas las casas)		Coca-cola, Kleenex and Justin Bieber are household names.
Expressions	A jaw-dropper	Causa de asombro total	 Lo que hacer caer la mandíbula	 The movie's ending was a real jaw dropper.
Expressions	A knockoff	Una imitación de un producto		 Her designer purse was a knockoff; it wasn't a real Gucci.
Expressions	A know-it-all = Un sabelotodo	A jack-of-all-trades = Quien lo hace todo; un todólogo		
Expressions	A leap of faith	Fe en algo intangible	 Un salto de fe	 It took a leap of faith for them to give him a chance at the role.
Expressions	A little bird told me	Me dijeron. 	 Un pajarito me dijo.	
Expressions	A little black book	Librito de números de teléfono, especialmente de chicos/as con intención romántica	 Librito negro	
Expressions	A long shot	Algo muy difícil/poco probable de cumplir.	 Un tiro largo	 He can try for that job, but it's a real long shot.
Expressions	A man of his word	Un hombre de palabra		 You can trust him; he's a man of his word.
Expressions	A man of the cloth	Un sacerdote, un hombre de fe	 Un hombre de la tela	Her uncle was a man of the cloth.
Expressions	A match made in heaven	Una combinación perfecta	1. combinación hecha en paraíso	 Cookies and milk are a match made in heaven!
Expressions	A no-brainer	Algo simple, obvio y claro para todos		 Between those two possibilities, the choice is a no-brainer.
Expressions	A penny for your thoughts?	¿Qué estás pensando?	 Un centavo por tus pensamientos.	
Expressions	A pain in the neck	Algo o alguien fastidioso		 Having to mow the grass every Saturday is a pain in the neck.
Expressions	A pipe dream		 Un sueño de pipa	Un sueño imposible
Expressions	A puddle jumper	Un avión pequeño para trayectorias cortas	 un "salta-charcos"	
Expressions	A red-eye flight	Un vuelo que uno toma por la noche y que llega a la mañana siguiente	 Un vuelo ojo-rojo	
Expressions	A road hog	Un conductor irresponsable	 Cerdo de carretera.	 Don't be a road hog just because you have a big car!
Expressions	A rude awakening	Sorpresa con el descubrimiento de la verdad	 Un despertar rudo	 The news of her betrayal was a rude awakening
Expressions	A sacred cow	Una persona o cosa que no puede ser criticado nunca	 Una vaca sagrada	
Expressions	A sense of direction	Un sentido de orientación		 I always get lost because I don't have a good sense of direction.
Expressions	A shindig			Una fiesta grande, con baile.
Expressions	A social butterfly	Una persona que se relaciona fácilmente entre diferentes grupos sociales	 Mariposa social	
Expressions	A slam dunk	Algo fácil de cumplir, seguro.		 Your winning the election is a slam dunk
Expressions	A slip of the tongue	Equivación al hablar	 Un lapsus de la lengua	I had a slip of the tongue and called him by the wrong name.
Expressions	A soap opera	Una telenovela		Los SO fueron llamados así porque los comerciales eran de productos de jabón en el principio.
Expressions	A stone's throw	A una distancia corta	 A un lanzamiento de piedra	 The bakery is a stone's throw from my house.
Expressions	A Sunday driver	Quien conduce lentamente. La idea es que conduce solamente los domingos para ir a misa.		I got stuck behind a Sun...
Expressions	A third wheel	Alguien que podría incomodar / "estar demás"	 Una tercera rueda	Joe and Maria are going to the movies; I don't want to be the third wheel.
Expressions	A token gesture	Un gesto simbólico		Adding 1 woman to the committee was just a token gesture; it didn't fix the gesture imbalance
Expressions	A tough cookie	Una persona difícil o dura	una galleta dura	
Expressions	A virtuous cycle: un círculo virtuoso	A vicious cycle: un círculo vicioso	Pron. Sai-k_l	Tambien se dice "circle" pero usamos más "cycle"
Expressions	A walk in the park	Algo fácil y agradable.	 Un paseo en el parque	 After all his tough jobs, this will be a walk in the park.
Expressions	A white knuckler	Que causa miedo o ansiedad	 Nudillos blancos	Una película llena de suspenso o un paseo (en avión, en carro) que asusta
Expressions	A white lie	Una mentira blanca o piadosa.		 You don't look like you've aged at all
Expressions	A wild goose chase	Una búsqueda inútil	 Una persecución de ganso salvaje	
Expressions	A teetotaler	Una persona que no bebe alcohol / abstemio		Pronunciación: TI - to - ta – ler
Expressions	Above board		 Encima del tablero	Legítimo, legal
Expressions	Achilles heel	Debilidad fatal	 El talón de Achilles	 My procrastination is my Achilles heel. What is yours?
Expressions	Across the board	En general / lo mismo para todos		 They were given a raise across the board of 10% (La frase viene de jugar cartas.)
Expressions	Adam's apple	La nuez de Adán	 La manzana de Adán	
Expressions	After one's own heart	Como le gustan a uno		 They are all teachers after my own heart!
Expressions	Against the flow	Hacer lo contrario de lo que los demás aceptan		 I went against the flow and disagreed with the group.
Expressions	Against your better judgment	Hacer algo, aunque usted no cree que debería		I stayed out late, against my better judgment.
Expressions	All dressed up and nowhere to go	Preparado para algo que no sucede		 When everyone cancelled plans I was ADUANTG.
Expressions	All hands on deck	Cuando todos deben ayudar		 With the deadline for the project approaching, we need all hands on deck.
Expressions	All in a day's work	Dentro de lo que es normal y esperada		 Going to multiple meetings a day is all in a day's work.
Expressions	All night long	Toda la noche		The baby cried all night long.
Expressions	All the more	Aún más		 Her success is all the more notable when you take into account what she has had to overcome.
Expressions	An ace up your sleeve	El "as" bajo la manga		En negociaciones cuando se tiene alguna ventaja sobre otros
Expressions	An accident waiting to happen	Un accidente anunciado / un peligro en potencia		 The pile of glasses is an accident...
Expressions	An acquired taste	Gusto adquirido		Greek wine is an acquired taste; it's a bit strong, but I like it.
Expressions	An inside joke		It doesn't make sense to you because it's an inside joke	Un chiste compartido entre amigos que otros no entienden
Expressions	An off-site	Reunión en un lugar que no es la oficina		 We had an off-site at the boss' house.
Expressions	An uphill battle or struggle	Una lucha difícil (Lit. cuesta arriba)		Fighting global warming is an uphill battle
Expressions	All things considered	En general		 All things considered, she is the best candidate for the job.
Expressions	An outbreak of	Un brote de	...violence	An outbreak of...
Expressions	Anybody who is anybody	Todo la gente importante o famosa		 Anybody who is anybody will be at the party.
Expressions	Apples and oranges	Dos cosas muy distintas	 manzanas y naranjas	You're comparing A and O; those are 2 very different things.
Expressions	Are you a "fair weather friend" or a true friend?	¿Eres en amigo en las buenas o en las malas?	 Un amigo cuando el clima es bueno	
Expressions	Around the clock	Continuamente; a toda hora		 My mom worries about me around the clock.
Expressions	"As different as night and day"	Muy diferente el uno del otro		 Although they are twins, they are as different as night and day.
Expressions	As fit as a fiddle	En buen estado de salud	 En tan buena condición como un violín	I was sick but now I am fit as a fiddle.
Expressions	As opposed to=a diferencia de, comparado con	Opposed to=contra de	I am opposed to smoking	It is 3% now as opposed to 2% last year.
Expressions	As phony as a three-dollar bill	Falso	 Tan falso como un billete de $3	 That charity is as phony as a three-dollar bill
Expressions	As proud as a peacock	Muy orgulloso	 Tan orgulloso como un pavo real	
Expressions	As soon as possible (ASAP)	Lo mas pronto posible	I need help ASAP.	 Please get it to me ASAP.
Expressions	Ash Wednesday	Miércoles de Ceniza		
Expressions	ASAP: as soon as possible	Lo mas pronto posible.		 Please give me the documents as soon as possible.
Expressions	At a loss for words = speechless	Mudo, estupefacto	The news left me speechless.	 The shocking news left me at a loss for words.
Expressions	At a moment's notice	De inmediato, en cualquier momento	 Con (solamente) un momento de notificación.	You need to be ready AAMN.
Expressions	At last	Por fin		 After trying for years, at last I was able to lose ten pounds.
Expressions	At last	Por fin / al fin		 You arrived at last! I had been so worried.
Expressions	At stake	Algo que puede ser ganado o perdido; en riesgo / estar en juego	2 His job is at stake	1 There is much at stake in the negotiations
Expressions	At the drop of a hat	Inmediatamente, sin hesitación		
Expressions	At ## o'clock sharp	A las ## en punto		 The meeting will start at 10am sharp.
Expressions	AWOL + absent without leave	Ausente sin permiso, un término originalmente militar		
Expressions	Backed into a corner	En una situación difícil	 Arinconado	 The police had the thief backed into AC
Expressions	Bad blood	Enmidad, malas relaciones	 Mala sangre	 There has been bad blood between their families for years.
Expressions	Back to back	Consecutivo y sin interrupción / seguidos	 Espalda con espalda	 I had back to back meetings all day. I'm pooped! (tired)
Expressions	Baker's dozen	¡13! ¡La docena del panadero tiene 13, porque da uno gratis!		
Expressions	Bang for the buck	El mayor provecho / obtener el mayor beneficio con la menor inversión		 This ad campaign really gave us bang for our buck! We sold so many new cars!
Expressions	Be careful what you wish for...	Cuidado con lo que deseas/pides...		
Expressions	Behind someone's back	Por escondidas		 I went to my friend's house behind my mother's back.
Expressions	Below the belt	Injusto	 Bajo el cinturón	
Expressions	Beltway	Carretera de circunvalación		
Expressions	2/2 Between a rock and a hard place	Ej Between living with his family or working far away to support them, John was BARAAHP.		
Expressions	1/2 Between a rock and a hard place	En situación difícil, sin buena opción	Entre una roca y un lugar duro	
Expressions	Birthday suit	Desnudo	 Traje de cumpleaños	 He came out of the bedroom wearing nothing but his birthday suit.
Expressions	Black Friday	El día después de Thanksgiving; hay muchos descuentos en las tiendas. Abre las compras para Navidad	 Viernes negro	
Expressions	Blood, sweat and tears	Gran esfuerzo personal	 Sangre, sudor y lágrimas	 We put a lot of blood, sweat and tears into rebuilding the town's school.
Expressions	BLT	A bacon, lettuce and tomato sandwich		Un sánduche de tocino, lechuga y tomate
Expressions	Blue ribbon	De primera categoría	 De cinta azul	 The director assembled a blue ribbon group to help him.
Expressions	Bone of contention	El asunto que causa desacuerdo / "manzana de la discordia"		 The real (bone of c...) is the # of workers on the night shift.
Expressions	Bottom of the barrel	Los peores de un grupo	 El fundo del barril	 The prisoners represented the BOTB of society.
Expressions	Bottom of the ninth	Los últimos momentos de una situación tensa (del béisbol)		It took us until the BOTN but we finished the project.
Expressions	bottleneck = un cuello de botella			
Expressions	Bowl Games	Partidos de futbol universitario en EEUU, después de la temporada normal.		 Rose Bowl, Alamo Bowl, Cotton Bowl, etc
Expressions	Brain drain	Fuga de cerebros		Cuando personas con mucho talento dejan una empresa o el país
Expressions	Bread and butter	Los medios de vida de una persona, su trabajo básico	 Pan y mantequilla	
Expressions	Break a leg!	Exclamación que significa "buena suerte"	 ¡Rompa una pierna!	
Expressions	Breakfast	Desayuno	 Romper el ayuno.	
Expressions	brown bag lunch	Una reunión a la hora del almuerzo cuando cada uno trae su propia comida.		
Expressions	By force of habit	Por fuerza de la costumbre		 Even though I was on vacation, I woke up at 6am by force of habit.
Expressions	By hook or by crook	Por cualquier manera necesaria o posible	http://idioms.thefreedictionary.com/by+hook+or+by+crook	Para historia de la frase:
Expressions	By the book	Al pie de la letra, siguiendo las reglas.	 De acuerdo al libro.	 He always does his work by the book.
Expressions	By the skin of one's teeth	Apenitas	 Por la piel de mis dientes	I got a B on the test by the skin of my teeth.
Expressions	By word of mouth	De boca en boca		 The best advertising is by word of mouth.
Expressions	Careful he doesn't give you a "knuckle sandwich."	Cuidado que no te pegue un puñetazo en la cara	 Un sándwich de nudillos	
Expressions	Carne: Como pedirla en el restaurante	Well done: bien hecho	Medium: término medio	Medium well: 3/4s
Expressions	Cash cow	Un producto o negocio que gana mucha plata		 That restaurant is a real cash cow; they're earning a ton of money!
Expressions	Catch you later	Hablamos más tarde / Nos vemos		
Expressions	Chargé d'Affaires	Encargado de negocios (del francés)		 As of today, the Chargé at the U.S. Embassy in Quito is Douglas Koneff.
Expressions	Chicken scratchings	Mala caligrafía / mala letra		(rasguños de pollo)
Expressions	Circular file	A garbage can – basurero	Cuidado si te dicen que han archivado su correo en "the circular...!	El tacho de basura
Expressions	Close but no cigar	Casi lograr un objetivo, pero no alcanza		 My guess was close but no cigar.
Expressions	COB = Close of Business	El final del día laboral, normalmente 5pm en EEUU		
Expressions	Cool as a cucumber	Muy relajado	 Frio como un pepino.	 He thought he would be nervous at the interview but he was cool as a...
Expressions	Come hell or high water	Contra viento o marea		No importa lo que pase; bajo cualquier circunstancia
Expressions	Conscience is clean	No tener sentido de culpa / Tener la conciencia tranquila		 I helped him every way I could. He's in trouble again but my conscience is clean
Expressions	Copycat	Imitador, una persona que copia las acciones de otra persona. 	 Un gato copión	
Expressions	Couch potato	Couch - sofa	Persona que lo pasa en el sofa	Potato - papa
Expressions	Course of action	Manera de proceder / Curso de acción		 Based on what has happened, we will determine the best course of action going forward.
Expressions	Crime does not pay	No hay crimen sin castigo	 El crimen no paga. Lema del FBI de 1927, ya un dicho	
Expressions	Cuando es un "violín" llamado un "fiddle"?	Cuando es utilizado para tocar música folclórica.		
Expressions	Cut from the same cloth	Cortados por la misma tijera	 C de la misma tela	You are so alike, U are CFTSC
Expressions	Dirt cheap	Muy barato	 Barato	 The outlets in Florida are dirt cheap!
Expressions	Do you get it? Entiendes?	I just don't get it. No entiendo.		
Expressions	Don't "block the box"	No bloquear la línea cebra		
Expressions	Don't mention it.	No hay de qué.	 No lo menciones	
Expressions	Don't hold your breath!	No esperes que algo pase pronto / Espera sentado	 No contengas tu respiración	If you are waiting for an apology, don't HYB.
Expressions	Down-to-earth	Con los pies sobre la tierra		 She is a very down-to-earth person.
Expressions	Drunk as a skunk	Muy borracho		 No one could take the boss seriously after seeing him drunk as skunk.
Expressions	Early bird special	Cuando la cena se sirve a las 4pm a un precio reducido, más popular con la tercera edad en #Florida		
Expressions	Earthquake = terremoto	I hope all of you are okay!		
Expressions	Easier said than done	Algo que parece fácil de hacer, pero que realmente as más difícil		 Learning to ride a bike is ESTD.
Expressions	Easter egg hunt	Los niños buscan los huevos de Pascua que están escondidos, son chocolates u otros dulces.		Típico en EEUU.
Expressions	Easy does it!	Cuando quiere que alguien hace algo con más cuidado o lentamente		 When my little brother pours milk, I say, EDI!
Expressions	Easy on the eyes	Atractivo	 Fácil a los ojos	 George is really easy on the eyes. All the girls love him.
Expressions	Eat your heart out!	Es una manera de decirte que vas a sentir envidia / "muérete de envidia"	 Coma su corazón!	 I lost 40 lbs. Eat your heart out!
Expressions	Elbow grease	Trabajo físico	 Grasa del codo	 Cleaning the house after the party took a lot of EG.
Expressions	Esprit de corps	(Del francés, usado en #inglés)	Orgullo y lealtad compartidos en un grupo / trabajar en un grupo con un mismo fin	Espíritu de cuerpo / Ponerse la camiseta
Expressions	Everything under the sun	Todas las cosas posibles	Todo bajo el sol	He claims he is the best at everything under the sun.
Expressions	Fair and square	Honestamente		 Sam won the contest fair and square.
Expressions	Fair play	Respeto a las reglas / Juego justo		 The soccer coach insisted on fair play and no unnecessary roughness.
Expressions	Far be it from me	No es mi lugar / No me corresponde		 Far be it from me to tell you what to do, but I think you should marry him
Expressions	Fast	Rapido/a, rápidamente	Ayunar	To fast
Expressions	Feast or famine	Demasiado o demasiado poco	 Banquete o hambruna	
Expressions	Fishy	Sospechoso	her surprise party!	 Ana thought something fishy was going on when everyone else came back late; they were planning
Expressions	Five o'clock shadow	La barba de tres días	 La sombra de las 5 de la tarde	
Expressions	Flat as a pancake 		 Tan llano cuanto un pancake (tortita)	Muy llano
Expressions	Flesh and blood	La familia	 Carne y sangre	 People put their own flesh and blood first
Expressions	Fly by night business	Transitorio, que no dura mucho tiempo		Un negocio no muy confiable que se mantiene por poco tiempo.
Expressions	From start to finish	Desde el principio hasta el final; completamente		 She was the leading candidate from start to finish.
Expressions	FYI - for your information	(Pron. Ef Wai Ai)	FYI, the elevator will be out of service for maintenance tomorrow.	Para tu información
Expressions	GED - Graduate Equivalency Diploma	Un certificado de un examen que remplaza el diploma de la escuela secundaria.		
Expressions	Give-and-take	Dar y recibir	Give it your best shot!	 Successful negotiation always requires a lot of give-and-take.
Expressions	Gross Domestic Product = GDP	Producto Interno Bruto = PIB		GDP=PIB
Expressions	Hands down	Sin lugar a dudas		 This is hands down the best ice cream in Guayaquil!
Expressions	Hands-on or hands-off manager	Hands-on manager: Un jefe que interviene mucho en las decisiones de su equipo		Hands-off manager: Un jefe que permite tomar decisiones a su equipo de trabajo
Expressions	Handwriting on the wall	Una advertencia, señal del futuro	Del libro Daniel, Biblia	I can read the HOTW, so I am leaving the company.
Expressions	Hang in there!	Mantente positivo; no te rindes.		 Hang in there. I'm sure you will find a job soon.
Expressions	He doesn't let anybody get a word in edgewise	Acapara la palabra; no deja hablar a nadie.		
Expressions	He wears his heart on his sleeve	Expresa sus emociones abiertamente	 Lleva su corazón puesto en su manga	
Expressions	Heads or tails	Sello o cruz		 Let's flip a coin. Which do you want? Heads or tails?
Expressions	"He's skating on thin ice."	Está haciendo algo riesgoso / Jugar con fuego	 Está patinando sobre hielo fino	
Expressions	Hog	1 Un cerdo (pig)		2 Una moto Harley-Davidson
Expressions	Home stretch	La recta final	 Tramo de casa	 The work is almost done; we're in the home stretch
Expressions	Hot off the press	Recién publicado y sensacional		 The news was hot off the press.
Expressions	HOV lane	High Occupancy Vehicle		Un carril para autos con 2 o más pasajeros
Expressions	I am as sick as a dog	Estoy muy enferma	 Estoy tan enferma como un perro	
Expressions	I am in your corner	Estoy de tu lado. Te apoyo.		
Expressions	I am used to it	Estoy acostumbrado a eso.		"Get used to it!" ¡Acostúmbrate!
Expressions	I can live with that.	Puedo manejarlo / puedo aceptarlo	 Puedo vivir con eso.	 You want to work nights? I can live with that.
Expressions	I can't wait to +V /for +noun	Estoy esperando con ganas	No puedo esperar.	 I can't wait to see you.
Expressions	I don't give a hoot	No me importa		 I don't give a hoot who she is, I still don't like her.
Expressions	I got a second wind	Tomar impulso / Encontré fuerzas a pesar de estar muy cansado	 Encontrar un segundo viento, de lenguaje de veleros	
